"Date","Price","Open","High","Low","Vol.","Change %"
"03/06/2026","6.42","6.42","6.44","6.42","16.83K","0.31%"
"03/05/2026","6.40","6.40","6.50","6.40","19.60K","0.31%"
"03/04/2026","6.38","6.58","6.58","6.32","17.57K","-1.85%"
"03/03/2026","6.50","6.60","6.60","6.50","33.51K","-1.52%"
"03/02/2026","6.60","6.60","6.70","6.60","7.00K","0.92%"
"02/27/2026","6.54","6.60","6.74","6.54","168.25K","-0.91%"
"02/26/2026","6.60","6.60","6.74","6.52","16.23K","0.00%"
"02/25/2026","6.60","6.74","6.74","6.52","23.87K","0.00%"
"02/24/2026","6.60","6.60","6.60","6.54","21.68K","1.23%"
"02/23/2026","6.52","6.52","6.68","6.52","17.74K","-1.51%"
"02/20/2026","6.62","6.60","6.72","6.60","27.01K","-0.90%"
"02/19/2026","6.68","6.66","6.80","6.62","27.69K","0.60%"
"02/18/2026","6.64","6.64","6.74","6.62","42.20K","0.61%"
"02/17/2026","6.60","6.60","6.70","6.60","4.73K","0.61%"
"02/16/2026","6.56","6.64","6.64","6.56","5.10K","-0.30%"
"02/13/2026","6.58","6.58","6.64","6.58","8.35K","0.00%"
"02/12/2026","6.58","6.70","6.80","6.56","64.48K","0.00%"
"02/11/2026","6.58","6.50","6.80","6.50","74.76K","0.30%"
"02/10/2026","6.56","6.64","6.68","6.56","28.87K","0.00%"
"02/09/2026","6.56","6.78","6.84","6.56","29.14K","0.61%"
"02/06/2026","6.52","6.78","6.78","6.52","38.20K","-2.98%"
"02/05/2026","6.72","6.80","6.80","6.72","0.13K","-1.18%"
"02/04/2026","6.80","6.80","6.82","6.80","3.40K","0.00%"
"02/03/2026","6.80","6.90","6.90","6.80","21.43K","-0.29%"
"02/02/2026","6.82","6.82","6.82","6.82","1.88K","-2.57%"
"01/30/2026","7.00","7.14","7.16","7.00","0.39K","2.64%"
"01/29/2026","6.82","6.82","6.82","6.82","","0.00%"
"01/28/2026","6.82","7.08","7.10","6.82","1.37K","-3.67%"
"01/27/2026","7.08","7.08","7.08","7.08","0.01K","2.91%"
"01/26/2026","6.88","6.90","6.90","6.88","110.45K","2.38%"
"01/23/2026","6.72","6.80","6.80","6.72","6.58K","-1.18%"
"01/22/2026","6.80","6.90","6.94","6.80","200.31K","-0.58%"
"01/21/2026","6.84","6.90","6.90","6.84","14.35K","1.79%"
"01/20/2026","6.72","6.74","6.74","6.70","20.48K","0.00%"
"01/19/2026","6.72","6.78","6.78","6.72","0.03K","0.90%"
"01/16/2026","6.66","6.52","6.82","6.52","30.63K","1.83%"
"01/15/2026","6.54","6.54","6.56","6.54","7.90K","0.00%"
"01/14/2026","6.54","6.54","6.54","6.54","0.09K","0.00%"
"01/13/2026","6.54","6.60","6.60","6.54","1.02K","-0.61%"
"01/12/2026","6.58","6.58","6.70","6.58","0.76K","0.00%"
"01/09/2026","6.58","6.72","6.74","6.58","19.15K","-2.08%"
"01/08/2026","6.72","6.84","6.84","6.72","8.24K","-1.47%"
"01/07/2026","6.82","6.90","6.90","6.82","1.54K","0.00%"
"01/06/2026","6.82","6.82","6.82","6.82","1.01K","0.00%"
"01/05/2026","6.82","6.98","6.98","6.82","5.92K","-1.16%"
"01/02/2026","6.90","6.92","6.92","6.90","0.28K","0.00%"
